,site,job_title,area,work_location,ingestion_ts,link
60,Afry,Teknisk Projektledare Life Science,Life Science Plant Engineering and Piping Design Process Engineering Technical Project Manager,Stockholms län,2025-09-15 13:41:53,https://portal.afry.com/available-assignments/search/f8727e98-7c5d-4288-88b4-a5c553ee2db7
59,Afry,Projektledare till kunds PMO,Project Management and Management,Stockholms län,2025-09-15 13:41:53,https://portal.afry.com/available-assignments/search/6c93b85f-2df5-487f-8e4d-ce7d73a17726
58,Afry,Kvalitetsingenjör industrialisering,Quality kvalitetssäkring kvalitetskontroll,Örebro län,2025-09-15 13:41:53,https://portal.afry.com/available-assignments/search/dca60be0-7fbb-4980-b636-945f04f99222
44,Afry,Senior Development Electrical Engineer,"Automation, Electrical and Robotics Engineering",Östergötlands län,2025-09-15 13:41:53,https://portal.afry.com/available-assignments/search/d9323cfe-c8f2-4512-87da-e5e8e2f5b772
45,Afry,Testspecialist,IT and Industrial IT Software Engineering and Test,Stockholms län Kalmar län,2025-09-15 13:41:53,https://portal.afry.com/available-assignments/search/f2d70afa-fa9c-41b7-937a-445566ebeab1
46,Afry,"Systemutvecklare C#, Azure",IT and Industrial IT,Östergötlands län,2025-09-15 13:41:53,https://portal.afry.com/available-assignments/search/311ef4d4-f9c4-49bd-a1ae-17521ebcaeda
47,Afry,Senior Teknisk QA Betalaflödet inom Bank,"IT and Industrial IT Software Engineering and Test Quality Assurance, Test and Validation",Stockholms län,2025-09-15 13:41:53,https://portal.afry.com/available-assignments/search/caf4b967-1b09-4592-8836-22804e37a599
48,Afry,SW Test & Integration ,Software Engineering and Test,Västra Götalands län,2025-09-15 13:41:53,https://portal.afry.com/available-assignments/search/65a008cf-9542-43ba-aab3-1c1bb6805bec
49,Afry,Product owner/Business IT analyst Automotive,Project Management and Management IT and Industrial IT Management Consulting Software Engineering and Test,Södermanlands län,2025-09-15 13:41:53,https://portal.afry.com/available-assignments/search/ea8b469e-5d78-4674-b74f-647792d44cd8
50,Afry,Developer .Net AWS,IT and Industrial IT Software Engineering and Test,Södermanlands län,2025-09-15 13:41:53,https://portal.afry.com/available-assignments/search/8b3e1efc-2643-4364-b0b5-e5a33d80dc2c
51,Afry,Verifiering/Validering av Transportabel MarkRadio,"Electronics System and Communication technology  Quality Assurance, Test and Validation Supply Chain, Procurement and Technical Documentation",Stockholms län Uppsala län,2025-09-15 13:41:53,https://portal.afry.com/available-assignments/search/90592614-e4f2-4cc6-9c27-e59bb32f39ac
52,Afry,Purchaser,"Purchasing Supply Chain, Procurement and Technical Documentation",,2025-09-15 13:41:53,https://portal.afry.com/available-assignments/search/f024c473-3cc4-47ad-abca-cf958ca21c6d
53,Afry,Data Engineer AWS,Software Engineering and Test,Skåne län,2025-09-15 13:41:53,https://portal.afry.com/available-assignments/search/8daabeda-53ed-4368-a9b1-ca655b5eab17
54,Afry,Data Engineer Informatica,Software Engineering and Test,Skåne län,2025-09-15 13:41:53,https://portal.afry.com/available-assignments/search/a89efa57-08df-4046-86ed-bf8337ad546b
55,Afry,R&D projektledare till Service,Project Management and Management,Östergötlands län,2025-09-15 13:41:53,https://portal.afry.com/available-assignments/search/0b0c3fdd-9a5c-4415-a057-feb5fbc949ac
56,Afry,Kvalitetsingenjör - Additiv Tillverkning,"Quality Assurance, Test and Validation",Östergötlands län,2025-09-15 13:41:53,https://portal.afry.com/available-assignments/search/d6f99ed0-cab2-4fda-9fb7-4136068f80c5
57,Afry,Service Application Engineer,"Mechanical Engineering (Product and Machine Design) Automation, Electrical and Robotics Engineering",Östergötlands län,2025-09-15 13:41:53,https://portal.afry.com/available-assignments/search/28d81dab-a5ea-4053-8f62-0f0180775860
3,Aliant,Utvecklare - MES-system,,Jönköping,2025-09-15 13:40:39,https://aliant.recman.page/job/448170
2,Aliant,Computer Vision - Android Automotive,,Göteborg,2025-09-15 13:40:39,https://aliant.recman.page/job/448256
1,Aliant,Medior Project Manager,,Göteborg,2025-09-15 13:40:39,https://aliant.recman.page/job/449546
4,Aliant,Sitecore-utvecklare,,Göteborg,2025-09-15 13:40:39,https://aliant.recman.page/job/432534
0,Aliant,Scala-utvecklare,,Göteborg,2025-09-15 13:40:39,https://aliant.recman.page/job/449553
